1m;2m;3m;4m;5m;10m;15m;20m;25m;30m
0.92;1.85;2.91;3.92;4.92;9.90;14.99;20.90;25.01;29.84
0.92;1.85;2.91;3.92;4.92;9.92;15.04;20.91;25.02;29.90
0.92;1.85;2.91;3.92;4.92;9.93;15.02;20.92;24.97;29.90
0.92;1.85;2.91;3.93;4.92;9.88;15.05;20.89;24.99;29.91
0.92;1.85;2.91;3.93;4.92;9.92;14.99;20.90;24.97;29.84
0.92;1.85;2.92;3.93;4.92;9.92;15.04;20.67;25.00;29.86
0.92;1.85;2.92;3.93;4.92;9.92;15.04;20.92;24.99;29.91
0.92;1.85;2.92;3.93;4.92;9.93;14.98;20.91;25.00;29.86
0.92;1.85;2.92;3.93;4.92;9.92;15.01;20.83;24.99;29.85
0.92;1.85;2.92;3.93;4.92;9.92;15.01;20.92;25.00;29.84
0.92;1.85;2.92;3.93;4.92;9.91;15.02;20.91;25.00;29.87
0.92;1.85;2.92;3.93;4.92;9.93;15.06;20.92;24.98;29.88
0.92;1.85;2.92;3.93;4.92;9.94;15.00;20.90;24.98;29.81
0.92;1.85;2.92;3.93;4.92;9.91;15.04;20.90;25.00;29.90
0.92;1.85;2.92;3.93;4.92;9.89;15.01;20.09;25.03;29.88
0.92;1.85;2.92;3.93;4.92;9.91;15.07;20.92;25.01;29.86
0.92;1.85;2.92;3.93;4.92;9.89;14.98;20.90;25.01;29.91
0.92;1.85;2.92;3.93;4.92;9.92;15.01;20.34;25.00;29.89
0.92;1.85;2.92;3.93;4.92;9.93;15.02;20.65;24.98;29.90
0.92;1.85;2.92;3.93;4.92;9.91;15.02;20.92;25.03;29.85
0.93;1.85;2.92;3.93;4.92;9.92;15.01;20.92;25.00;29.88
0.93;1.85;2.92;3.93;4.92;9.92;15.01;20.63;25.02;29.89
0.93;1.85;2.92;3.93;4.92;9.91;15.04;20.88;24.98;29.84
0.93;1.85;2.92;3.93;4.92;9.93;15.00;20.93;25.00;29.84
0.93;1.85;2.92;3.93;4.92;9.89;15.07;20.65;24.99;29.83
0.93;1.86;2.92;3.93;4.92;9.90;15.01;20.91;24.96;29.89
0.93;1.86;2.92;3.93;4.92;9.91;15.00;20.87;25.00;29.89
0.93;1.86;2.92;3.93;4.92;9.91;15.04;20.90;25.04;29.84
0.93;1.86;2.92;3.93;4.92;9.95;15.00;20.90;25.00;29.84
0.93;1.86;2.92;3.93;4.92;9.91;15.07;20.94;25.03;29.85
0.93;1.86;2.92;3.93;4.92;9.94;14.97;20.90;25.04;29.85
0.93;1.86;2.92;3.94;4.93;9.93;15.04;20.62;25.06;29.85
0.93;1.86;2.92;3.94;4.93;9.92;15.02;20.15;25.03;29.90
0.93;1.86;2.92;3.94;4.93;9.92;15.02;20.83;24.98;29.86
0.93;1.86;2.92;3.94;4.93;9.93;15.02;20.36;25.04;29.84
0.93;1.86;2.92;3.94;4.93;9.90;15.00;20.90;24.96;29.80
0.93;1.86;2.92;3.94;4.93;9.92;15.02;20.42;25.01;29.85
0.93;1.86;2.92;3.94;4.93;9.90;15.06;20.13;25.01;29.87
0.93;1.86;2.92;3.94;4.93;9.90;15.04;20.76;25.00;29.87
0.93;1.86;2.92;3.94;4.93;9.90;15.02;20.91;25.03;29.89
0.93;1.86;2.92;3.94;4.93;9.89;15.04;20.92;25.01;29.90
0.93;1.86;2.92;3.94;4.93;9.90;15.01;20.59;24.99;29.87
0.93;1.86;2.92;3.94;4.93;9.93;15.04;20.90;24.98;29.81
0.93;1.87;2.92;3.94;4.93;9.92;15.01;20.92;25.00;29.90
0.93;1.87;2.92;3.94;4.93;9.94;15.04;20.92;25.00;29.89
0.93;1.87;2.92;3.94;4.93;9.92;15.03;20.92;24.99;29.85
0.93;1.87;2.92;3.94;4.93;9.92;15.01;20.90;25.01;29.85
0.93;1.87;2.92;3.94;4.93;9.92;14.99;20.87;25.00;29.88
0.94;1.87;2.92;3.94;4.93;9.89;15.03;20.87;24.97;29.84
0.94;1.87;2.92;3.94;4.93;9.92;14.98;20.67;25.00;29.90
0.94;1.87;2.92;3.94;4.93;9.90;15.03;20.31;25.04;29.91
0.94;1.87;2.92;3.94;4.93;9.92;15.04;20.96;25.02;29.84
0.94;1.87;2.92;3.94;4.93;9.92;15.04;20.62;24.99;29.91
0.94;1.87;2.92;3.94;4.93;9.89;15.07;20.90;25.02;29.84
0.94;1.87;2.92;3.94;4.93;9.93;14.99;20.37;24.97;29.84
0.94;1.87;2.92;3.94;4.93;9.93;15.01;20.91;24.99;29.89
0.94;1.87;2.92;3.94;4.93;9.88;14.99;20.88;25.04;29.87
